,Name  ↓,Type  ↓,Strain  ↓,Style  ↓
1824,WLP200 ESB Best Bitters 301 01 BS,Beer,WLP200,ESB Best Bitters
1825,WLP001 ESB Best Bitters 301 02 BS,Beer,WLP001,ESB Best Bitters
1826,WLP002 ESB Best Bitters 301 03 BS,Beer,WLP002,ESB Best Bitters
1827,BLEND ESB Best Bitters 301 04 BS,Beer,BLEND,ESB Best Bitters
1828,WLP500 Dubbel 302 01 BS,Beer,WLP500,Dubbel
1829,WLP530 Dubbel 302 02 BS,Beer,WLP530,Dubbel
1830,WLP510 Dubbel 302 03 BS,Beer,WLP510,Dubbel
1831,WLP570 Dubbel 302 04 BS,Beer,WLP570,Dubbel
1832,WLP001 American IPA 303 01 BS,Beer,WLP001,American IPA
1833,WLP007 American IPA 303 02 BS,Beer,WLP007,American IPA
1834,WLP028 American IPA 303 03 BS,Beer,WLP028,American IPA
1835,WLP545 American IPA 303 04 BS,Beer,WLP545,American IPA
1836,WLP002 American Pale Ale 304 01 BS,Beer,WLP002,American Pale Ale
1837,WLP029 American Pale Ale 304 02 BS,Beer,WLP029,American Pale Ale
1838,WLP041 American Pale Ale 304 03 BS,Beer,WLP041,American Pale Ale
1839,WLP550 American Pale Ale 304 04 BS,Beer,WLP550,American Pale Ale
1840,WLP004 Porter 305 01 BS,Beer,WLP004,Porter
1841,WLP013 Porter 305 02 BS,Beer,WLP013,Porter
1842,WLP023 Porter 305 03 BS,Beer,WLP023,Porter
1843,WLP022 Porter 305 04 BS,Beer,WLP022,Porter
1844,BLEND Frankenstout 306 01 BS,Beer,BLEND,Frankenstout
1845,BLEND Frankenstout 306 02 BS,Beer,BLEND,Frankenstout
1846,BLEND Frankenstout 306 03 BS,Beer,BLEND,Frankenstout
1847,BLEND Frankenstout 306 04 BS,Beer,BLEND,Frankenstout
1848,NCYC1006 English Mild 307 01 BS,Beer,NCYC1006,English Mild
1849,NCYC1026 English Mild 307 02 BS,Beer,NCYC1026,English Mild
1850,NCYC1187 English Mild 307 03 BS,Beer,NCYC1187,English Mild
1851,NCYC1228 English Mild 307 04 BS,Beer,NCYC1228,English Mild
1852,NCYC1681 English Mild 307 05 BS,Beer,NCYC1681,English Mild
1853,WLP300 Hefeweizen 308 01 BS,Beer,WLP300,Hefeweizen
1854,WLP320 Hefeweizen 308 02 BS,Beer,WLP320,Hefeweizen
1855,WLP351 Hefeweizen 308 03 BS,Beer,WLP351,Hefeweizen
1856,WLP380 Hefeweizen 308 04 BS,Beer,WLP380,Hefeweizen
1857,WLP564 Saison 309 01 BS,Beer,WLP564,Saison
1858,WLP565 Saison 309 02 BS,Beer,WLP565,Saison
1859,WLP585 Saison 309 03 BS,Beer,WLP585,Saison
1860,WLP644 Saison 309 04 BS,Beer,WLP644,Saison
1861,WLP001 American IPA 310 01 BS,Beer,WLP001,American IPA
1862,WLP001 American IPA 310 02 BS,Beer,WLP001,American IPA
1863,WLP028 American IPA 310 03 BS,Beer,WLP028,American IPA
1864,WLP545 American IPA 310 04 BS,Beer,WLP545,American IPA
1865,WLP500 Dubbel 311 01 BS,Beer,WLP500,Dubbel
1866,WLP530 Dubbel 311 02 BS,Beer,WLP530,Dubbel
1867,WLP510 Dubbel 311 03 BS,Beer,WLP510,Dubbel
1868,WLP570 Dubbel 311 04 BS,Beer,WLP570,Dubbel
1869,WLP001 Oatmeal Stout 312 01 BS,Beer,WLP001,Oatmeal Stout
1870,WLP001 Oatmeal Stout 312 02 BS,Beer,WLP001,Oatmeal Stout
1871,WLP001 Oatmeal Stout 312 03 BS,Beer,WLP001,Oatmeal Stout
1872,WLP001 Oatmeal Stout 312 04 BS,Beer,WLP001,Oatmeal Stout
1873,WLP004 Porter 313 01 BS,Beer,WLP004,Porter
1874,WLP013 Porter 313 02 BS,Beer,WLP013,Porter
1875,WLP023 Porter 313 03 BS,Beer,WLP023,Porter
1876,WLP022 Porter 313 04 BS,Beer,WLP022,Porter
1877,WLP300 Hefeweizen 314 01 BS,Beer,WLP300,Hefeweizen
1878,WLP320 Hefeweizen 314 02 BS,Beer,WLP320,Hefeweizen
1879,WLP351 Hefeweizen 314 03 BS,Beer,WLP351,Hefeweizen
1880,WLP380 Hefeweizen 314 04 BS,Beer,WLP380,Hefeweizen
1881,WLP002 American Pale Ale 315 01 BS,Beer,WLP002,American Pale Ale
1882,WLP029 American Pale Ale 315 02 BS,Beer,WLP029,American Pale Ale
1883,WLP041 American Pale Ale 315 03 BS,Beer,WLP041,American Pale Ale
1884,WLP550 American Pale Ale 315 04 BS,Beer,WLP550,American Pale Ale
1885,BLEND FrankenLager 316 01 BS,Beer,BLEND,FrankenLager
1886,BLEND FrankenLager 316 02 BS,Beer,BLEND,FrankenLager
1887,BLEND FrankenLager 316 03 BS,Beer,BLEND,FrankenLager
1888,BLEND FrankenLager 316 04 BS,Beer,BLEND,FrankenLager
1889,WLP564 Saison 317 01 BS,Beer,WLP564,Saison
1890,WLP644 Saison 317 04 BS,Beer,WLP644,Saison
1891,WLP001 American IPA 318 01 BS,Beer,WLP001,American IPA
1892,WLP007 American IPA 318 02 BS,Beer,WLP007,American IPA
1893,WLP001 American IPA 318 03 BS,Beer,WLP001,American IPA
1894,WLP545 American IPA 318 04 BS,Beer,WLP545,American IPA
1895,WLP500 Dubbel 319 01 BS,Beer,WLP500,Dubbel
1896,WLP530 Dubbel 319 02 BS,Beer,WLP530,Dubbel
1897,WLP510 Dubbel 319 03 BS,Beer,WLP510,Dubbel
1898,WLP570 Dubbel 319 04 BS,Beer,WLP570,Dubbel
1899,WLP004 Porter 320 01 BS,Beer,WLP004,Porter
1900,WLP013 Porter 320 02 BS,Beer,WLP013,Porter
1901,WLP022 Porter 320 03 BS,Beer,WLP022,Porter
1902,WLP023 Porter 320 04 BS,Beer,WLP023,Porter
1903,WLP300 Hefeweizen 321 01 BS,Beer,WLP300,Hefeweizen
1904,WLP320 Hefeweizen 321 02 BS,Beer,WLP320,Hefeweizen
1905,WLP351 Hefeweizen 321 03 BS,Beer,WLP351,Hefeweizen
1906,WLP380 Hefeweizen 321 04 BS,Beer,WLP380,Hefeweizen
1907,WLP001 English Style IPA 3210 BS,Beer,WLP001,English Style IPA
1908,WLP001 American IPA 322 01 BS,Beer,WLP001,American IPA
1909,WLP007 American IPA 322 02 BS,Beer,WLP007,American IPA
1910,WLP028 American IPA 322 03 BS,Beer,WLP028,American IPA
1911,WLP001 American IPA 322 04 BS,Beer,WLP001,American IPA
1912,BLEND FrankenSmoked 323 01 BS,Beer,BLEND,FrankenSmoked
1913,BLEND FrankenRyePA 324 01 BS,Beer,BLEND,FrankenRyePA
1914,WLP002 American Pale Ale 325 01 BS,Beer,WLP002,American Pale Ale
1915,WLP029 American Pale Ale 325 02 BS,Beer,WLP029,American Pale Ale
1916,WLP041 American Pale Ale 325 03 BS,Beer,WLP041,American Pale Ale
1917,WLP550 American Pale Ale 325 04 BS,Beer,WLP550,American Pale Ale
1918,WLP564 Saison 326 01 BS,Beer,WLP564,Saison
1919,WLP565 Saison 326 02 BS,Beer,WLP565,Saison
1920,WLP644 Saison 326 04 BS,Beer,WLP644,Saison
1921,WLP300 Hefeweizen 327 01 BS,Beer,WLP300,Hefeweizen
1922,WLP320 Hefeweizen 327 02 BS,Beer,WLP320,Hefeweizen
1923,WLP351 Hefeweizen 327 03 BS,Beer,WLP351,Hefeweizen
1924,WLP380 Hefeweizen 327 04 BS,Beer,WLP380,Hefeweizen
1925,WLP004 Porter 328 01 BS,Beer,WLP004,Porter
1926,WLP013 Porter 328 02 BS,Beer,WLP013,Porter
1927,WLP023 Porter 328 04 BS,Beer,WLP023,Porter
1928,WLP500 Dubbel 329 01 BS,Beer,WLP500,Dubbel
1929,WLP530 Dubbel 329 02 BS,Beer,WLP530,Dubbel
1930,WLP510 Dubbel 329 03 BS,Beer,WLP510,Dubbel
1931,WLP570 Dubbel 329 04 BS,Beer,WLP570,Dubbel
1932,WLP001 Distilling Wash 331 01 BS,Beer,WLP001,Distilling Wash
1933,WLP001 American IPA 331 02 BS,Beer,WLP001,American IPA
1934,WLP028 American IPA 331 03 BS,Beer,WLP028,American IPA
1935,WLP545 American IPA 331 04 BS,Beer,WLP545,American IPA
1936,BLEND Frankenstout 333 01 BS,Beer,BLEND,Frankenstout
1937,BLEND Frankenstout 333 02 BS,Beer,BLEND,Frankenstout
1938,BLEND Frankenstout 333 03 BS,Beer,BLEND,Frankenstout
1939,BLEND Frankenstout 333 04 BS,Beer,BLEND,Frankenstout
1940,WLP039 American Pale Ale 334 01 BS,Beer,WLP039,American Pale Ale
1941,WLP060 American Pale Ale 334 02 BS,Beer,WLP060,American Pale Ale
1942,WLP072 American Pale Ale 334 03 BS,Beer,WLP072,American Pale Ale
1943,WLP515 American Pale Ale 334 04 BS,Beer,WLP515,American Pale Ale
1944,WLP566 Saison 337 01 BS,Beer,WLP566,Saison
1945,WLP568 Saison 337 02 BS,Beer,WLP568,Saison
1946,WLP670 Saison 337 03 BS,Beer,WLP670,Saison
1947,BLEND Saison 337 04 BS,Beer,BLEND,Saison
1948,WLP300 Witbier 338 01 BS,Beer,WLP300,Witbier
1949,WLP351 Witbier 338 02 BS,Beer,WLP351,Witbier
1950,WLP400 Witbier 338 03 BS,Beer,WLP400,Witbier
1951,WLP410 Witbier 338 04 BS,Beer,WLP410,Witbier
1952,WLP001 American IPA 339 01 BS,Beer,WLP001,American IPA
1953,WLP090 American IPA 339 02 BS,Beer,WLP090,American IPA
1954,WLP550 American IPA 339 03 BS,Beer,WLP550,American IPA
1955,WLP4000 American IPA 339 04 BS,Beer,WLP4000,American IPA
1956,WLP070 Dubbel 340 01 BS,Beer,WLP070,Dubbel
1957,WLP540 Dubbel 340 02 BS,Beer,WLP540,Dubbel
1958,WLP575 Dubbel 340 03 BS,Beer,WLP575,Dubbel
1959,WLP665 Dubbel 340 04 BS,Beer,WLP665,Dubbel
1960,WLP005 Porter 341 01 BS,Beer,WLP005,Porter
1961,WLP006 Porter 341 02 BS,Beer,WLP006,Porter
1962,WLP051 Porter 341 03 BS,Beer,WLP051,Porter
1963,WLP862 Porter 341 04 BS,Beer,WLP862,Porter
1964,WLP003 American Pale Ale 342 01 BS,Beer,WLP003,American Pale Ale
1965,WLP039 American Pale Ale 342 02 BS,Beer,WLP039,American Pale Ale
1966,WLP060 American Pale Ale 342 03 BS,Beer,WLP060,American Pale Ale
1967,WLP566 Saison 343 01 BS,Beer,WLP566,Saison
1968,WLP568 Saison 343 02 BS,Beer,WLP568,Saison
1969,WLP670 Saison 343 03 BS,Beer,WLP670,Saison
1970,BLEND Saison 343 04 BS,Beer,BLEND,Saison
1971,WLP001 American IPA 345 01 BS,Beer,WLP001,American IPA
1972,WLP090 American IPA 345 02 BS,Beer,WLP090,American IPA
1973,WLP070 Dubbel 347 01 BS,Beer,WLP070,Dubbel
1974,WLP540 Dubbel 347 02 BS,Beer,WLP540,Dubbel
1975,WLP575 Dubbel 347 03 BS,Beer,WLP575,Dubbel
1976,WLP665 Dubbel 347 04 BS,Beer,WLP665,Dubbel
1977,Blend-001-041 Stout 348 03 BS,Beer,Blend-001-041,Stout
1978,Blend-001-041 Stout 348 04 BS,Beer,Blend-001-041,Stout
1979,WLP006 Porter 349 02 BS,Beer,WLP006,Porter
1980,WLP001 American IPA 350 01 BS,Beer,WLP001,American IPA
1981,Hull Melon Single Hop IPA 350.02,Recipe,,Hull Melon Single Hop
1982,WLP001 American IPA 350 02 BS,Beer,WLP001,American IPA
1983,Waimea Single Hop IPA 351.01,Recipe,,Waimea Single Hop
1984,WLP001 American IPA 351 01 BS,Beer,WLP001,American IPA
1985,Blanc Single Hop IPA 351.02,Recipe,,Blanc Single Hop
1986,WLP001 American IPA 351 02 BS,Beer,WLP001,American IPA
1987,WLP001 Porter 352 01 BS,Beer,WLP001,Porter
1988,WLP006 Porter 352 02 BS,Beer,WLP006,Porter
1989,WLP001 American IPA 353 01 BS,Beer,WLP001,American IPA
1990,WLP090 American IPA 353 02 BS,Beer,WLP090,American IPA
1991,WLP003 American Pale Ale 354 01 BS,Beer,WLP003,American Pale Ale
1992,WLP039 American Pale Ale 354 02 BS,Beer,WLP039,American Pale Ale
1993,WLP060 American Pale Ale 354 03 BS,Beer,WLP060,American Pale Ale
1994,WLP566 Saison 355 01 BS,Beer,WLP566,Saison
1995,WLP568 Saison 355 02 BS,Beer,WLP568,Saison
1996,WLP670 Saison 355 03 BS,Beer,WLP670,Saison
1997,BLEND Saison 355 04 BS,Beer,BLEND,Saison
1998,WLP300 Witbier 356 01 BS,Beer,WLP300,Witbier
1999,WLP351 Witbier 356 02 BS,Beer,WLP351,Witbier
2000,WLP400 Witbier 356 03 BS,Beer,WLP400,Witbier
2001,WLP410 Witbier 356 04 BS,Beer,WLP410,Witbier
2002,WLP070 Dubbel 357 01 BS,Beer,WLP070,Dubbel
2003,WLP540 Dubbel 357 02 BS,Beer,WLP540,Dubbel
2004,WLP575 Dubbel 357 03 BS,Beer,WLP575,Dubbel
2005,WLP665 Dubbel 357 04 BS,Beer,WLP665,Dubbel
2006,WLP005 Porter 358 01 BS,Beer,WLP005,Porter
2007,WLP006 Porter 358 02 BS,Beer,WLP006,Porter
2008,WLP051 Porter 358 03 BS,Beer,WLP051,Porter
2009,WLP862 Porter 358 04 BS,Beer,WLP862,Porter
2010,WLP001 American IPA 359 01 BS,Beer,WLP001,American IPA
2011,WLP550 American IPA 359 03 BS,Beer,WLP550,American IPA
2012,WLP566 Saison 360 01 BS,Beer,WLP566,Saison
2013,WLP568 Saison 360 02 BS,Beer,WLP568,Saison
2014,WLP670 Saison 360 03 BS,Beer,WLP670,Saison
2015,BLEND Saison 360 04 BS,Beer,BLEND,Saison
2016,WLP003 American Pale Ale 361 01 BS,Beer,WLP003,American Pale Ale
2017,WLP039 American Pale Ale 361 02 BS,Beer,WLP039,American Pale Ale
2018,WLP060 American Pale Ale 361 03 BS,Beer,WLP060,American Pale Ale
2019,WLP515 American Pale Ale 361 04 BS,Beer,WLP515,American Pale Ale
2020,WLP300 Witbier 362 01 BS,Beer,WLP300,Witbier
2021,WLP351 Witbier 362 02 BS,Beer,WLP351,Witbier
2022,WLP400 Witbier 362 03 BS,Beer,WLP400,Witbier
2023,WLP410 Witbier 362 04 BS,Beer,WLP410,Witbier
2024,WLP001 American IPA 363 01 BS,Beer,WLP001,American IPA
2025,WLP090 American IPA 363 02 BS,Beer,WLP090,American IPA
2026,WLP550 American IPA 363 03 BS,Beer,WLP550,American IPA
2027,WLP4000 American IPA 363 04 BS,Beer,WLP4000,American IPA
2028,WLP300 Witbier 365 01 BS,Beer,WLP300,Witbier
2029,WLP380 Witbier 365 02 BS,Beer,WLP380,Witbier
2030,WLP400 Witbier 365 03 BS,Beer,WLP400,Witbier
2031,WLP410 Witbier 365 04 BS,Beer,WLP410,Witbier
2032,WLP036 Rye Beer 368 02 BS,Beer,WLP036,Rye Beer
2033,WLP351 Rye Beer 368 03 BS,Beer,WLP351,Rye Beer
2034,WLP565 Rye Beer 368 04 BS,Beer,WLP565,Rye Beer
2035,WLP001 American IPA 370 01 BS,Beer,WLP001,American IPA
2036,WLP090 American IPA 370 02 BS,Beer,WLP090,American IPA
2037,WLP550 American IPA 370 03 BS,Beer,WLP550,American IPA
2038,WLP4000 American IPA 370 04 BS,Beer,WLP4000,American IPA
2039,WLP013 Oatmeal Stout 373 01 BS,Beer,WLP013,Oatmeal Stout
2040,WLP005 Porter 374 01 BS,Beer,WLP005,Porter
2041,WLP006 Porter 374 02 BS,Beer,WLP006,Porter
2042,WLP051 Porter 374 03 BS,Beer,WLP051,Porter
2043,WLP862 Porter 374 03 BS,Beer,WLP862,Porter
2044,WLP001 American IPA 375 01 BS,Beer,WLP001,American IPA
2045,WLP550 American IPA 375 03 BS,Beer,WLP550,American IPA
2046,WLP028 American IPA 375 04 BS,Beer,WLP028,American IPA
2047,WLP003 American Pale Ale 376 01 BS,Beer,WLP003,American Pale Ale
2048,WLP039 American Pale Ale 376 02 BS,Beer,WLP039,American Pale Ale
2049,WLP060 American Pale Ale 376 03 BS,Beer,WLP060,American Pale Ale
2050,WLP515 American Pale Ale 376 04 BS,Beer,WLP515,American Pale Ale
2051,WLP070 Dubbel 377 01 BS,Beer,WLP070,Dubbel
2052,WLP540 Dubbel 377 02 BS,Beer,WLP540,Dubbel
2053,WLP575 Dubbel 377 03 BS,Beer,WLP575,Dubbel
2054,WLP665 Dubbel 377 04 BS,Beer,WLP665,Dubbel
2055,WLP566 Saison 379 01 BS,Beer,WLP566,Saison
2056,WLP568 Saison 379 02 BS,Beer,WLP568,Saison
2057,WLP670 Saison 379 03 BS,Beer,WLP670,Saison
2058,WLP644 Saison 379 04 BS,Beer,WLP644,Saison
2059,WLP001 American IPA 381 01 BS,Beer,WLP001,American IPA
2060,WLP090 American IPA 381 02 BS,Beer,WLP090,American IPA
2061,WLP550 American IPA 381 03 BS,Beer,WLP550,American IPA
2062,WLP4000 American IPA 381 04 BS,Beer,WLP4000,American IPA
2063,WLP005 Porter 382 01 BS,Beer,WLP005,Porter
2064,WLP006 Porter 382 02 BS,Beer,WLP006,Porter
2065,WLP051 Porter 382 03 BS,Beer,WLP051,Porter
2066,WLP862 Porter 382 04 BS,Beer,WLP862,Porter
2067,WLP003 American Pale Ale 383 01 BS,Beer,WLP003,American Pale Ale
2068,WLP039 American Pale Ale 383 02 BS,Beer,WLP039,American Pale Ale
2069,WLP060 American Pale Ale 383 03 BS,Beer,WLP060,American Pale Ale
2070,WLP515 American Pale Ale 383 04 BS,Beer,WLP515,American Pale Ale
2071,WLP300 Hefeweizen 384 01 BS,Beer,WLP300,Hefeweizen
2072,WLP380 Hefeweizen 384 02 BS,Beer,WLP380,Hefeweizen
2073,WLP400 Hefeweizen 384 03 BS,Beer,WLP400,Hefeweizen
2074,WLP410 Hefeweizen 384 04 BS,Beer,WLP410,Hefeweizen
2075,WLP566 Saison 385 01 BS,Beer,WLP566,Saison
2076,WLP568 Saison 385 02 BS,Beer,WLP568,Saison
2077,WLP670 Saison 385 03 BS,Beer,WLP670,Saison
2078,WLP644 Saison 385 04 BS,Beer,WLP644,Saison
2079,WLP004 Am. Red 386 01 BS,Beer,WLP004,Am. Red
2080,WLP004 Beer 386 01 NA,Beer,WLP004,Beer
2081,WLP007 Am. Red 386 02 BS,Beer,WLP007,Am. Red
2082,WLP007 Beer 386 02 NA,Beer,WLP007,Beer
2083,WLP041 Am. Red 386 03 BS,Beer,WLP041,Am. Red
2084,WLP090 Am. Red 386 04 BS,Beer,WLP090,Am. Red
2085,WLP001 Beer 387 01 NA,Beer,WLP001,Beer
2086,WLP003 American Pale Ale 389 01 BS,Beer,WLP003,American Pale Ale
2087,WLP039 American Pale Ale 389 02 BS,Beer,WLP039,American Pale Ale
2088,WLP060 American Pale Ale 389 03 BS,Beer,WLP060,American Pale Ale
2089,WLP515 American Pale Ale 389 04 BS,Beer,WLP515,American Pale Ale
2090,WLP001 Beer 390 01 BS,Beer,WLP001,Beer
2091,WLP090 Beer 390 02 BS,Beer,WLP090,Beer
2092,WLP550 American IPA 390 03 BS,Beer,WLP550,American IPA
2093,WLP4000 Beer 390 04 BS,Beer,WLP4000,Beer
2094,WLP001 Porter 391 01 BS,Beer,WLP001,Porter
2095,WLP060 Porter 391 02 BS,Beer,WLP060,Porter
2096,WLP095 Porter 391 03 BS,Beer,WLP095,Porter
2097,WLP515 Porter 391 04 BS,Beer,WLP515,Porter
2098,WLP566 Saison 392 01 BS,Beer,WLP566,Saison
2099,WLP568 Saison 392 02 BS,Beer,WLP568,Saison
2100,WLP670 Saison 392 03 BS,Beer,WLP670,Saison
2101,WLP644 Saison 392 04 BS,Beer,WLP644,Saison
2102,WLP004 Milk Stout 393 01 BS,Beer,WLP004,Milk Stout
2103,WLP028 Milk Stout 393 02 BS,Beer,WLP028,Milk Stout
2104,WLP500 Milk Stout 393 03 BS,Beer,WLP500,Milk Stout
2105,WLP510 Milk Stout 393 04 BS,Beer,WLP510,Milk Stout
2106,WLP300 Berliner Wiesse 394 01 BS,Beer,WLP300,Berliner Wiesse
2107,WLP380 Berliner Wiesse 394 02 BS,Beer,WLP380,Berliner Wiesse
2108,WLP400 Berliner Wiesse 394 03 BS,Beer,WLP400,Berliner Wiesse
2109,WLP410 Berliner Wiesse 394 04 BS,Beer,WLP410,Berliner Wiesse
2110,WLP530 Tripel 395 01 BS,Beer,WLP530,Tripel
2111,WLP545 Tripel 395 02 BS,Beer,WLP545,Tripel
2112,WLP550 Tripel 395 03 BS,Beer,WLP550,Tripel
2113,WLP570 Tripel 395 04 BS,Beer,WLP570,Tripel
2114,WLP060 Am. Red 396 01 BS,Beer,WLP060,Am. Red
2115,WLP568 Am. Red 396 02 BS,Beer,WLP568,Am. Red
2116,WLP300 Witbier 397 01 BS,Beer,WLP300,Witbier
2117,WLP320 Witbier 397 02 BS,Beer,WLP320,Witbier
2118,WLP400 Witbier 397 03 BS,Beer,WLP400,Witbier
2119,WLP410 Witbier 397 04 BS,Beer,WLP410,Witbier
2120,WLP001 Brown Porter 398 01 BS,Beer,WLP001,Brown Porter
2121,WLP060 Brown Porter 398 02 BS,Beer,WLP060,Brown Porter
2122,WLP095 Beer 398 03 BS,Beer,WLP095,Beer
2123,WLP515 Brown Porter 398 04 BS,Beer,WLP515,Brown Porter
2124,WLP565 Saison 399 01 BS,Beer,WLP565,Saison
2125,WLP566 Saison 399 02 BS,Beer,WLP566,Saison
2126,WLP590 Saison 399 03 BS,Beer,WLP590,Saison
2127,WLP644 Saison 399 04 BS,Beer,WLP644,Saison
2128,WLP028 Black IPA 400 01 BS,Beer,WLP028,Black IPA
2129,WLP530 Tripel 401 01 BS,Beer,WLP530,Tripel
2130,WLP545 Tripel 401 02 BS,Beer,WLP545,Tripel
2131,WLP550 Tripel 401 03 BS,Beer,WLP550,Tripel
2132,WLP570 Tripel 401 04 BS,Beer,WLP570,Tripel
2133,WLP300 Witbier 402 01 BS,Beer,WLP300,Witbier
2134,WLP320 Witbier 402 02 BS,Beer,WLP320,Witbier
2135,WLP400 Witbier 402 03 BS,Beer,WLP400,Witbier
2136,WLP410 Witbier 402 04 BS,Beer,WLP410,Witbier
2137,WLP565 Saison 403 01 BS,Beer,WLP565,Saison
2138,WLP566 Saison 403 02 BS,Beer,WLP566,Saison
2139,WLP590 Saison 403 03 BS,Beer,WLP590,Saison
2140,WLP644 Saison 403 04 BS,Beer,WLP644,Saison
2141,WLP001 Double IPA 404 01 BS,Beer,WLP001,Double IPA
2142,WLP001 Double IPA 404 03 BS,Beer,WLP001,Double IPA
2143,WLP001 Double IPA 404 04 BS,Beer,WLP001,Double IPA
2144,WLP004 Milk Stout 405 01 BS,Beer,WLP004,Milk Stout
2145,WLP028 Milk Stout 405 02 BS,Beer,WLP028,Milk Stout
2146,WLP500 Milk Stout 405 03 BS,Beer,WLP500,Milk Stout
2147,WLP510 Milk Stout 405 04 BS,Beer,WLP510,Milk Stout
2148,WLP001 Brown Porter 406 01 BS,Beer,WLP001,Brown Porter
2149,WLP060 Brown Porter 406 02 BS,Beer,WLP060,Brown Porter
2150,WLP095 Brown Porter 406 03 BS,Beer,WLP095,Brown Porter
2151,WLP515 Brown Porter 406 04 BS,Beer,WLP515,Brown Porter
2152,WLP565 Saison 407 01 BS,Beer,WLP565,Saison
2153,WLP566 Saison 407 02 BS,Beer,WLP566,Saison
2154,WLP590 Saison 407 03 BS,Beer,WLP590,Saison
2155,WLP644 Saison 407 04 BS,Beer,WLP644,Saison
2156,WLP300 Witbier 408 01 BS,Beer,WLP300,Witbier
2157,WLP320 Witbier 408 02 BS,Beer,WLP320,Witbier
2158,WLP400 Witbier 408 03 BS,Beer,WLP400,Witbier
2159,WLP410 Witbier 408 04 BS,Beer,WLP410,Witbier
2160,WLP300 Dunkel 409 01 BS,Beer,WLP300,Dunkel
2161,WLP320 Dunkel 409 02 BS,Beer,WLP320,Dunkel
2162,WLP351 Dunkel 409 03 BS,Beer,WLP351,Dunkel
2163,WLP585 Dunkel 409 04 BS,Beer,WLP585,Dunkel
2164,WLP004 Milk Stout 410 01 BS,Beer,WLP004,Milk Stout
2165,WLP028 Milk Stout 410 02 BS,Beer,WLP028,Milk Stout
2166,WLP500 Milk Stout 410 03 BS,Beer,WLP500,Milk Stout
2167,WLP510 Milk Stout 410 04 BS,Beer,WLP510,Milk Stout
2168,WLP530 Tripel 411 01 BS,Beer,WLP530,Tripel
2169,WLP545 Tripel 411 02 BS,Beer,WLP545,Tripel
2170,WLP550 Tripel 411 03 BS,Beer,WLP550,Tripel
2171,WLP570 Tripel 411 04 BS,Beer,WLP570,Tripel
2172,WLP300 Witbier 412 01 BS,Beer,WLP300,Witbier
2173,WLP320 Witbier 412 02 BS,Beer,WLP320,Witbier
2174,WLP400 Witbier 412 03 BS,Beer,WLP400,Witbier
2175,WLP410 Witbier 412 04 BS,Beer,WLP410,Witbier
2176,WLP060 Brown Porter 413 02 BS,Beer,WLP060,Brown Porter
2177,WLP095 Brown Porter 413 03 BS,Beer,WLP095,Brown Porter
2178,WLP565 Saison 414 01 BS,Beer,WLP565,Saison
2179,WLP566 Saison 414 02 BS,Beer,WLP566,Saison
2180,WLP590 Saison 414 03 BS,Beer,WLP590,Saison
2181,WLP644 Saison 414 04 BS,Beer,WLP644,Saison
2182,WLP004 Milk Stout 415 01 BS,Beer,WLP004,Milk Stout
2183,WLP028 Milk Stout 415 02 BS,Beer,WLP028,Milk Stout
2184,WLP500 Milk Stout 415 03 BS,Beer,WLP500,Milk Stout
2185,WLP510 Milk Stout 415 04 BS,Beer,WLP510,Milk Stout
2186,WLP090 Imperial Stout 416 01 BS,Beer,WLP090,Imperial Stout
2187,WLP028 Imperial Stout 416 02 BS,Beer,WLP028,Imperial Stout
2188,WLP510 Imperial Stout 416 03 BS,Beer,WLP510,Imperial Stout
2189,WLP300 Witbier 417 01 BS,Beer,WLP300,Witbier
2190,WLP320 Witbier 417 02 BS,Beer,WLP320,Witbier
2191,WLP410 Witbier 417 04 BS,Beer,WLP410,Witbier
2192,WLP001 American IPA 418 01 BS,Beer,WLP001,American IPA
2193,WLP005 American IPA 418 02 BS,Beer,WLP005,American IPA
2194,WLP007 American IPA 418 03 BS,Beer,WLP007,American IPA
2195,WLP090 American IPA 418 04 BS,Beer,WLP090,American IPA
2196,WLP001 RauchBier 420 01 BS,Beer,WLP001,RauchBier
2197,WLP003 RauchBier 420 02 BS,Beer,WLP003,RauchBier
2198,WLP029 RauchBier 420 03 BS,Beer,WLP029,RauchBier
2199,WLP090 RauchBier 420 04 BS,Beer,WLP090,RauchBier
2200,WLP530 Tripel 421 01 BS,Beer,WLP530,Tripel
2201,WLP545 Tripel 421 02 BS,Beer,WLP545,Tripel
2202,WLP550 Tripel 421 03 BS,Beer,WLP550,Tripel
2203,WLP570 Tripel 421 04 BS,Beer,WLP570,Tripel
2204,WLP004 Milk Stout 422 01 BS,Beer,WLP004,Milk Stout
2205,WLP004 Milk Stout 422 02 BS,Beer,WLP004,Milk Stout
2206,WLP028 Milk Stout 422 03 BS,Beer,WLP028,Milk Stout
2207,WLP028 Milk Stout 422 04 BS,Beer,WLP028,Milk Stout
2208,WLP565 Saison 423 01 BS,Beer,WLP565,Saison
2209,WLP566 Saison 423 02 BS,Beer,WLP566,Saison
2210,WLP590 Saison 423 03 BS,Beer,WLP590,Saison
2211,WLP644 Saison 423 04 BS,Beer,WLP644,Saison
2212,WLP300 Witbier 424 01 BS,Beer,WLP300,Witbier
2213,WLP320 Witbier 424 02 BS,Beer,WLP320,Witbier
2214,WLP400 Witbier 424 03 BS,Beer,WLP400,Witbier
2215,WLP410 Witbier 424 04 BS,Beer,WLP410,Witbier
